,solved,time,tries
0,1,0.5466628074645996,7
1,1,8.883033037185669,7
2,1,2.971454620361328,5
3,1,14.733036518096924,7
4,1,5.187548875808716,6
5,1,13.76883339881897,9
6,1,7.643444538116455,6
7,1,9.410412788391113,6
8,1,10.951071739196777,9
9,1,4.8847596645355225,6
10,1,6.479047775268555,7
11,1,14.860349178314209,5
12,1,12.97451400756836,10
13,1,10.707892179489136,7
14,1,9.830344200134277,8
15,1,0.2064225673675537,5
16,1,13.01227879524231,7
17,1,7.9367592334747314,6
18,1,12.239178895950317,10
19,1,6.827004909515381,6
